name,supports_sharing,server_type,latest_version,latest_date,download,image
Starsat X1 Extreme,نعم,FOREVER,14/11/25,v3.129,https://falahsab.github.io/centers/,
Starsat X1 Pro,نعم,FOREVER,15/11/25,v3.130,https://falahsab.github.io/centers/,
Starsat 200 Extreme 4K Linux,نعم,FOREVER,16/11/25,v3.131,https://falahsab.github.io/centers/,https://starsat.com/wp-content/uploads/2025/04/main-9-scaled.jpg
Starsat 220 H 4K Linux,نعم,FOREVER,17/11/25,v3.132,https://falahsab.github.io/centers/,
Starsat 90000 Extreme,نعم,FOREVER,18/11/25,v3.133,https://falahsab.github.io/centers/,
Starsat 2000 Extreme,نعم,FOREVER,19/11/25,v3.134,https://falahsab.github.io/centers/,
Starsat 9090 Extreme,نعم,FOREVER,20/11/25,v3.135,https://falahsab.github.io/centers/,
Starsat T13 Extreme,نعم,FOREVER,21/11/25,v3.136,https://falahsab.github.io/centers/,
Starsat T14 Extreme,نعم,FOREVER,22/11/25,v3.137,https://falahsab.github.io/centers/,
Starsat 2020 Extreme,نعم,FOREVER,23/11/25,v3.138,https://falahsab.github.io/centers/,
Starsat T15 Extreme,نعم,FOREVER,24/11/25,v3.139,https://falahsab.github.io/centers/,https://starsat.com/wp-content/uploads/2025/04/Main-12.jpg
Starsat 2200 HD Extreme,نعم,FOREVER,25/11/25,v3.140,https://falahsab.github.io/centers/,
Starsat 4050 HD,نعم,FOREVER,26/11/25,v3.141,https://falahsab.github.io/centers/,
Starsat 4050 HD Extreme,نعم,FOREVER,27/11/25,v3.142,https://falahsab.github.io/centers/,
Starsat 7060 HD,نعم,FOREVER,28/11/25,v3.143,https://falahsab.github.io/centers/,
Starsat 7080 HD,نعم,FOREVER,29/11/25,v3.144,https://falahsab.github.io/centers/,
Starsat 7080 Jordan V1,نعم,FOREVER,30/11/25,v3.145,https://falahsab.github.io/centers/,
Starsat 7080 Jordan V2,نعم,FOREVER,01/12/25,v3.146,https://falahsab.github.io/centers/,
Starsat 7090 HD,نعم,FOREVER,02/12/25,v3.147,https://falahsab.github.io/centers/,
Starsat T30,نعم,FOREVER,03/12/25,v3.148,https://falahsab.github.io/centers/,
Starsat T30 PRO,نعم,FOREVER,04/12/25,v3.149,https://falahsab.github.io/centers/,
Starsat T30 PRO Jordan V1,نعم,FOREVER,05/12/25,v3.150,https://falahsab.github.io/centers/,
Starsat T30 PRO Jordan V2,نعم,FOREVER,06/12/25,v3.151,https://falahsab.github.io/centers/,
Starsat T140 PRO,نعم,FOREVER,07/12/25,v3.152,https://falahsab.github.io/centers/,
Starsat T60,نعم,FOREVER,08/12/25,v3.153,https://falahsab.github.io/centers/,
Starsat T70,نعم,FOREVER,09/12/25,v3.154,https://falahsab.github.io/centers/,
Starsat 600 HD,نعم,FOREVER,10/12/25,v3.155,https://falahsab.github.io/centers/,
Starsat 700 HD,نعم,FOREVER,11/12/25,v3.156,https://falahsab.github.io/centers/,
Starsat 800 HD,نعم,FOREVER,12/12/25,v3.157,https://falahsab.github.io/centers/,
